                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 3.0307,                 4.7656,                 3.6217,                0.00018,                0.07365,                0.01205,                0.00167,                 3.0559,                 5.5138,                 3.8766,             0.00050777,             0.00050777,             0.00050777
                     38,                 2.9617,                 4.8175,                  3.681,                0.00012,                0.06095,                0.01359,                0.00445,                 3.0647,                 5.4895,                 3.8195,             0.00050725,             0.00050725,             0.00050725
                     39,                 3.0065,                 4.5994,                 3.6359,                0.00014,                0.06095,                0.00665,                 0.0024,                 3.0611,                 5.4772,                 3.7952,             0.00050673,             0.00050673,             0.00050673
                     40,                 2.9253,                 4.6507,                  3.632,                0.00077,                 0.0927,                0.00861,                 0.0029,                 3.0722,                 5.4462,                 3.7936,             0.00050621,             0.00050621,             0.00050621
                     41,                 2.8505,                  4.857,                 3.6175,                0.00077,                 0.0927,                0.00861,                 0.0029,                 3.0722,                 5.4462,                 3.7936,             0.00050569,             0.00050569,             0.00050569
                     42,                 2.7953,                 4.7053,                 3.5796,                0.00184,                 0.0927,                0.00954,                0.00282,                 3.0777,                 5.4471,                 3.8078,             0.00050517,             0.00050517,             0.00050517
                     43,                 2.9003,                 4.5751,                 3.6101,                0.00166,                0.10011,                0.01576,                0.00395,                 3.0795,                 5.3809,                 3.8222,             0.00050465,             0.00050465,             0.00050465
                     44,                 2.7576,                 4.6025,                  3.585,                0.74599,                0.00741,                0.01106,                0.00373,                 3.1035,                 5.3022,                 3.8839,             0.00050413,             0.00050413,             0.00050413
                     45,                 2.8645,                 4.6732,                 3.4166,                0.74599,                0.00741,                0.01106,                0.00373,                 3.1035,                 5.3022,                 3.8839,             0.00050361,             0.00050361,             0.00050361
                     46,                 2.9302,                 4.6343,                 3.4691,                 0.7454,                0.02646,                0.00981,                0.00278,                 3.0065,                 5.3829,                 3.9924,             0.00050309,             0.00050309,             0.00050309
                     47,                  2.791,                 4.5075,                 3.4645,                0.83103,                0.01693,                0.01108,                0.00303,                 2.8617,                 5.6893,                 3.9173,             0.00050257,             0.00050257,             0.00050257
                     48,                 2.8342,                 4.6356,                  3.483,                0.88062,                0.02646,                0.01715,                0.00601,                 2.6838,                 6.7465,                 3.8371,             0.00050205,             0.00050205,             0.00050205
                     49,                 3.0709,                 4.5186,                  3.475,                0.88062,                0.02646,                0.01715,                0.00601,                 2.6838,                 6.7465,                 3.8371,             0.00050153,             0.00050153,             0.00050153
                     50,                 2.6694,                 4.4354,                 3.4407,                0.01521,                0.36857,                0.04408,                0.01597,                 2.5511,                 7.0255,                 3.5845,               0.000501,               0.000501,               0.000501
                     51,                 2.7888,                 4.4035,                 3.3926,                 0.0133,                0.42079,                0.05522,                0.02098,                 2.5105,                 7.1775,                 3.4987,             0.00050048,             0.00050048,             0.00050048
                     52,                  2.865,                 4.4892,                 3.3556,                0.61894,                0.08382,                 0.0533,                 0.0203,                 2.5004,                 6.5489,                 3.4461,             0.00049996,             0.00049996,             0.00049996
                     53,                 2.7254,                 4.2622,                 3.3567,                0.61894,                0.08382,                 0.0533,                 0.0203,                 2.5004,                 6.5489,                 3.4461,             0.00049944,             0.00049944,             0.00049944
                     54,                 2.8257,                 4.4728,                 3.3512,                0.76196,                0.04497,                0.05139,                 0.0226,                 2.3667,                 5.8892,                 3.3238,             0.00049892,             0.00049892,             0.00049892
                     55,                 2.9292,                 4.5188,                 3.3497,                0.76762,                0.03016,                0.03991,                0.01503,                 2.3731,                 5.9481,                 3.3032,              0.0004984,              0.0004984,              0.0004984
                     56,                 2.7062,                 4.3959,                 3.2583,                0.47667,                0.11904,                0.04066,                0.01493,                 2.3966,                 7.7603,                 3.2761,             0.00049788,             0.00049788,             0.00049788
                     57,                 2.9009,                 4.6951,                 3.3718,                0.47667,                0.11904,                0.04066,                0.01493,                 2.3966,                 7.7603,                 3.2761,             0.00049736,             0.00049736,             0.00049736
                     58,                 2.6965,                 4.2342,                 3.2167,                0.89063,                0.01905,                0.03391,                0.01339,                  2.431,                 10.418,                 3.1893,             0.00049684,             0.00049684,             0.00049684
                     59,                 2.7409,                 4.2833,                 3.2294,                0.83184,                 0.0381,                0.04978,                0.01175,                 2.4906,                 9.7583,                 3.1329,             0.00049632,             0.00049632,             0.00049632
                     60,                 2.8361,                 4.1035,                 3.2309,                0.84481,                 0.0381,                0.01643,                0.00675,                 2.5599,                 8.1607,                  3.242,              0.0004958,              0.0004958,              0.0004958
                     61,                 2.6484,                 3.9315,                  3.137,                0.84481,                 0.0381,                0.01643,                0.00675,                 2.5599,                 8.1607,                  3.242,             0.00049528,             0.00049528,             0.00049528
                     62,                 2.8865,                 4.1486,                  3.209,                0.80699,                 0.0381,                0.01642,                0.00878,                 2.6125,                 13.475,                 3.3027,             0.00049476,             0.00049476,             0.00049476
                     63,                 2.6532,                  4.129,                 3.1723,                0.40636,                 0.1127,                 0.0221,                0.01081,                   2.56,                 32.591,                 3.3366,             0.00049423,             0.00049423,             0.00049423
                     64,                 2.5524,                 4.2296,                 3.0913,                0.55029,                 0.1127,                0.04568,                0.01538,                 2.5732,                 54.179,                  3.428,             0.00049371,             0.00049371,             0.00049371
                     65,                 2.6812,                 4.3029,                 3.1014,                0.55029,                 0.1127,                0.04568,                0.01538,                 2.5732,                 54.179,                  3.428,             0.00049319,             0.00049319,             0.00049319
                     66,                 2.5394,                 3.9756,                 3.0987,                0.55316,                 0.1127,                0.05239,                0.02095,                 2.5826,                 44.771,                 3.4939,             0.00049267,             0.00049267,             0.00049267
                     67,                 2.6767,                 3.8956,                 3.1536,                0.48156,                 0.1127,                0.06478,                0.03005,                 2.5407,                 19.745,                 3.3241,             0.00049215,             0.00049215,             0.00049215
                     68,                 2.5457,                 4.1175,                 3.1523,                0.62037,                0.08677,                 0.0794,                0.04642,                  2.423,                 7.2269,                 3.1489,             0.00049163,             0.00049163,             0.00049163
                     69,                 2.6722,                 4.1856,                 3.1534,                0.62037,                0.08677,                 0.0794,                0.04642,                  2.423,                 7.2269,                 3.1489,             0.00049111,             0.00049111,             0.00049111
                     70,                 2.7005,                  4.102,                 3.1347,                0.82954,                0.06825,                0.09453,                0.04956,                 2.3509,                 5.2154,                 3.0518,             0.00049059,             0.00049059,             0.00049059
                     71,                 2.7096,                 4.5262,                 3.2617,                0.83621,                0.06825,                0.07547,                0.03777,                 2.3081,                 5.3612,                 3.0204,             0.00049007,             0.00049007,             0.00049007
                     72,                 2.6694,                 4.0242,                 3.1239,                0.89726,                0.05714,                0.07537,                 0.0375,                 2.2724,                 7.2531,                 3.0152,             0.00048955,             0.00048955,             0.00048955
                     73,                 2.5561,                 3.8454,                 3.0753,                0.89726,                0.05714,                0.07537,                 0.0375,                 2.2724,                 7.2531,                 3.0152,             0.00048903,             0.00048903,             0.00048903
                     74,                 2.6234,                  3.915,                 3.0271,                0.76051,                0.09048,                  0.063,                0.03105,                 2.3091,                 19.749,                 3.1497,             0.00048851,             0.00048851,             0.00048851
                     75,                 2.5641,                 4.0714,                 3.0807,                0.76261,                0.09048,                0.06229,                0.03129,                 2.2856,                 42.147,                 3.2401,             0.00048799,             0.00048799,             0.00048799
                     76,                 2.5206,                 4.0035,                 3.0206,                0.76652,                0.09048,                0.06185,                0.02865,                 2.3626,                 42.345,                 3.3017,             0.00048747,             0.00048747,             0.00048747
                     77,                  2.585,                 3.8861,                 2.9895,                0.76652,                0.09048,                0.06185,                0.02865,                 2.3626,                 42.345,                 3.3017,             0.00048694,             0.00048694,             0.00048694
                     78,                 2.3623,                 3.9943,                 2.9888,                 0.7629,                    0.1,                0.06328,                0.02526,                 2.3971,                 41.492,                 3.3071,             0.00048642,             0.00048642,             0.00048642
                     79,                 2.6147,                 3.6144,                 2.9223,                0.68795,                0.14326,                0.06858,                0.02585,                  2.359,                 36.929,                 3.2317,              0.0004859,              0.0004859,              0.0004859
                     80,                 2.4593,                  3.847,                 3.0525,                0.76272,                0.10741,                0.08464,                  0.033,                 2.2856,                 16.838,                 2.9541,             0.00048538,             0.00048538,             0.00048538
                     81,                 2.5986,                 3.7945,                 3.0615,                0.76272,                0.10741,                0.08464,                  0.033,                 2.2856,                 16.838,                 2.9541,             0.00048486,             0.00048486,             0.00048486
                     82,                 2.7064,                 3.9324,                 3.0302,                0.79951,                0.11085,                0.11107,                0.04983,                 2.1733,                 8.0348,                 2.7699,             0.00048434,             0.00048434,             0.00048434
                     83,                 2.3527,                 4.0123,                 2.9616,                 0.7926,                0.10472,                  0.183,                0.07959,                 2.0749,                 5.5311,                 2.6939,             0.00048382,             0.00048382,             0.00048382
                     84,                 2.4756,                 3.6829,                 3.0137,                0.64716,                0.16757,                0.25096,                0.13208,                 2.0056,                 5.2604,                 2.6709,              0.0004833,              0.0004833,              0.0004833
                     85,                 2.5981,                 3.8508,                 2.9805,                0.64716,                0.16757,                0.25096,                0.13208,                 2.0056,                 5.2604,                 2.6709,             0.00048278,             0.00048278,             0.00048278
                     86,                 2.4372,                 3.8996,                 3.0507,                0.63248,                0.18978,                0.21093,                 0.1052,                 1.9369,                 5.6498,                 2.6266,             0.00048226,             0.00048226,             0.00048226
